category	pub_date	url_slug	excerpt	title	venue	paper_url	slides_url
manuscripts	2018-01-01	박다솔_퍼지	박다솔, 차정원	퍼지 범주 표현과 준지도 심층 신경망을 이용한 트위터 혐오 발언 문장 탐지	한국 정보과학회 논문지
conferences	2018-01-01	성수진_CNN	성수진, 신창욱, 박성재, 차정원	CNN Sequence-to-Sequence를 이용한 대화 시스템 생성	한글 및 한국어 정보처리 학술대회(HCLT)
conferences	2018-01-01	신창욱_대화에서	신창욱, 차정원	대화에서 멀티태스크 학습을 이용한 감정 및 화행 분류	한글 및 한국어 정보처리 학술대회(HCLT)
conferences	2018-01-01	김정무_Q-Net:질문	김정무, 신창욱, 차정원	Q-Net:질문 유형을 추가한 기계 독해	한글 및 한국어 정보처리 학술대회(HCLT)
conferences	2018-01-01	성수진_Multi-Task	성수진, 박성재, 정인규, 차정원	Multi-Task Learning에서 공유 공간과 성능과의 관계 탐구	한글 및 한국어 정보처리 학술대회(HCLT)
conferences	2018-01-01	하은주_국어	하은주, 오진영, 차정원	국어 감정분석을 위한 말뭉치 구축 가이드라인 및 말뭉치 구축 도구	한글 및 한국어 정보처리 학술대회(HCLT)
conferences	2018-01-01	오진영_Ontofitting	오진영, 차정원	Ontofitting: 의미 표현을 위한 벡터 조정	한글 및 한국어 정보처리 학술대회(HCLT)
conferences	2018-01-01	성수진_Epidemic	Su-Jin Seong, Seong-Jae Park, Tae-Ho Park, Chang-Uk Shin, Da-Sol Park, Jeong-MooKim, Jeong-Won Cha	Epidemic Respiratory Disease Prediction Using Ensemble Method	International Conference on Future Information & Communication Engineering(ICFICE)
manuscripts	2018-01-01	박태호_세종	박태호, 차정원	세종 형태의미분석 말뭉치와 세종의미사전의 용언 의미번호 불일치 문제 해결	한국정보과학회 논문지
conferences	2018-01-01	신창욱_End-to-End	Chang-Uk Shin, Jeong-Won Cha	End-to-End Task Dependent Recurrent Entity Network for Goal-Oriented Dialog Learning	Computer Speech & Language
conferences	2017-01-01	박정열_Open	Jung-Yeul Park, Jeong-Won Cha, Mija Kim	Open Language Resources for Korean–Best practices and discussion for Korean language processing	Language Resources and Evaluation(LRE)
conferences	2017-01-01	박다솔_준지도	박다솔, 신창욱, 신영태, 차정원	준지도 학습 심층 신경망을 이용한 트위터 혐오 발언 문장 탐지	한국 소프트웨어 종합 학술대회(KSC)
conferences	2017-01-01	성수진_일별	성수진, 박성재, 차정원	일별 굴 생산량의 예측 가능성에 관한 연구	한국 소프트웨어 종합 학술대회(KSC)
conferences	2017-01-01	신창욱_Dynamic	신창욱, 차정원	Dynamic Memory Network를 이용한 End-to-End 레스토랑 예약 대화 시스템	한국 소프트웨어 종합 학술대회(KSC)
conferences	2017-01-01	신창욱_Learning	Chang-Uk Shin, Jeong-Won Cha	Learning Dynamic Memory Networks with Two Views	Dialog System Technology Challenges(DSTC)
conferences	2017-01-01	박정열_Building	Jung-Yeul Park, Loic Dugast, Jeen-Pyo Hong, Chang-Uk Shin, Jeong-Won Cha	Building a Better Bitext for Structurally Different Languages through Self-training	IJCNLP 2017 Workshop on Curation and Application of Parallel and Comparable Corpora(Cupral)
conferences	2017-01-01	박성재_LSTM을	박성재, 차정원	LSTM을 이용한 한국어 이미지 캡션 생성	한글 및 한국어 정보처리 학술대회(HCLT)
conferences	2017-01-01	신창욱_MTRNN을	신창욱, 차정원	MTRNN을 이용한 한국어 대화 모델 생성	한글 및 한국어 정보처리 학술대회(HCLT)
manuscripts	2017-01-01	박다솔_워드	박다솔, 차정원	워드 임베딩과 유의어를 활용한 단어 의미 범주 할당	한국정보과학회 논문지
conferences	2017-01-01	박태호_형태	박태호, 차정원	형태 의미 정보를 이용한 한국어 의미역 결정	한국 컴퓨터 종합학술대회(KCC)
conferences	2017-01-01	신창욱_skip-thought	신창욱, 차정원	skip-thought 벡터를 이용한 한국어 의미 표현	한국 컴퓨터 종합학술대회(KCC)
conferences	2017-01-01	박성재_CNN을	박성재, 차정원	CNN을 이용한 대화와 같은 짧은 문장에서 개체명 인식	한국 컴퓨터 종합학술대회(KCC)
manuscripts	2017-01-01	박다솔_Extension	Da-Sol Park, Jeong-Won Cha	Extension of Semantic Lexicon Using Word Embeddings and Synonyms	INFORMATION-An International Interdisciplinary Journal
manuscripts	2017-01-01	박태호_Feature	Tae-Ho Park, Jeong-Won Cha	Feature verification for Korean Semantic Role Labeling	INFORMATION-An International Interdisciplinary Journal
conferences	2016-01-01	박태호_한국어	박태호, 신창욱, 박성재, 박다솔, 신영태, 차정원	한국어 의미 분석을 위한 세종의미망 확장	정보과학회 동계학술대회
conferences	2016-01-01	박정열_Korean	Jung-Yeul Park, Jeen-Pyo Hong, Jeong-Won Cha	Korean Language Resources for Everyone, Pacific Asia Conference on Language	Information and Computation(PACLIC)
conferences	2016-01-01	박다솔_워드	박다솔, 차정원	워드 임베딩을 이용한 세종 전자사전 확장	한글 및 한국어 정보처리 학술대회(HCLT)
conferences	2016-01-01	박태호_CRF를	박태호, 차정원	CRF를 이용한 복수 의미역 문제 해결	한글 및 한국어 정보처리 학술대회(HCLT)
conferences	2016-01-01	박태호_Korean	박태호, 차정원	Korean Semantic Role Labeling Using CRFs	IICCC, 2016
manuscripts	2016-01-01	박태호_CRFs	박태호, 차정원	CRFs 기반의 한국어 의미역 부착 성능 향상을 위한 자질 선택	한국정보과학회지
conferences	2016-01-01	박태호_Rough	박태호, 신창욱, 박성재, 박다솔, 차정원	Rough Set을 이용한 형태소 품사 태깅 코퍼스 오류 정량화	한국 컴퓨터 종합학술대회 논문집(KCC)
conferences	2016-01-01	신창욱_Improving	신창욱, 차정원	Improving Korean dependency parsing performance using predicate-argument features	APIC-IST2016
manuscripts	2016-01-01	최윤수_Word	최윤수, 차정원	Word Embedding 자질을 이용한 한국어 개체명 인식 및 분류	한국정보과학회
manuscripts	2016-01-01	박태호_커널	박태호, 차정원	커널 Ripple-Down Rule을 이용한 태깅 말뭉치 오류 자동 수정	한국정보과학회
conferences	2015-01-01	신창욱_CRFs를	신창욱, 차정원	CRFs를 이용한 구문분석기의 오류 분석 및 자질 추천	정보과학회 동계학술대회
conferences	2015-01-01	최윤수_Word	최윤수, 차정원	Word Embeddings 자질을 이용한 한국어 개체명 인식 및 분류	정보과학회 동계학술대회
conferences	2015-01-01	박태호_CRFs	박태호, 차정원	CRFs 기반의 한국어 의미역 결정	한글 및 한국어 정보처리 학술대회(HCLT)
conferences	2015-01-01	신창욱_Khann	신창욱, 박성재, 차정원	Khann 2 : 경험기반 고효율 한국어 품사태깅 도구	한국 컴퓨터 종합학술대회(KCC)
conferences	2015-01-01	김중한_개체명	김중한, 최윤수, 박태호, 차정원	개체명 부착 말뭉치에서 자동 오류 수정	한국 컴퓨터 종합학술대회(KCC)
